pop_size,generations,F,CR,mean_fitness,std_fitness,all_fitnesses
50,50,0.5,0.7,0.9164811608541511,0.004663908194816079,"[0.9131832797427653, 0.9230769230769231, 0.9131832797427653]"
50,50,0.5,0.9,0.9339611842265988,0.0074287179854566196,"[0.9240506329113924, 0.9419354838709677, 0.9358974358974359]"
50,50,0.8,0.7,0.919551893745442,0.007612350184526709,"[0.926984126984127, 0.9090909090909091, 0.9225806451612903]"
50,50,0.8,0.9,0.9208664619152865,0.0066855297722292345,"[0.9115646258503401, 0.926984126984127, 0.9240506329113924]"
50,100,0.5,0.7,0.922338033262201,0.002449331972916375,"[0.9235668789808917, 0.918918918918919, 0.9245283018867925]"
50,100,0.5,0.9,0.9377657919302976,0.005493113133336621,"[0.9453376205787781, 0.932475884244373, 0.9354838709677419]"
50,100,0.8,0.7,0.9131283068783068,0.005889400793982174,"[0.9125, 0.9206349206349206, 0.90625]"
50,100,0.8,0.9,0.9389054850219898,0.0026317759913929146,"[0.9423076923076923, 0.9358974358974359, 0.9385113268608414]"
100,50,0.5,0.7,0.9247909799347499,0.01111687998692092,"[0.94, 0.9137380191693291, 0.9206349206349206]"
100,50,0.5,0.9,0.9289804632402108,0.0074326933846394,"[0.9255663430420712, 0.939297124600639, 0.922077922077922]"
100,50,0.8,0.7,0.9192713623574189,0.0024652407128849473,"[0.9185667752442996, 0.9225806451612903, 0.9166666666666666]"
100,50,0.8,0.9,0.9202886676771401,0.0027184690173059824,"[0.9177215189873418, 0.919093851132686, 0.9240506329113924]"
100,100,0.5,0.7,0.9231303558144702,0.004236070418796701,"[0.9182389937106918, 0.9225806451612903, 0.9285714285714286]"
100,100,0.5,0.9,0.938585092559061,0.003223501931574925,"[0.9363057324840764, 0.9363057324840764, 0.9431438127090301]"
100,100,0.8,0.7,0.926053224302582,0.005894891272543733,"[0.9182389937106918, 0.9274447949526814, 0.932475884244373]"
100,100,0.8,0.9,0.9323694238359805,0.006578218941991261,"[0.9265175718849841, 0.9290322580645162, 0.9415584415584416]"
