phase,algo,label,fitness_metric,recall,precision,f1,accuracy,n_pred_pos,n_pred_neg,degenerate,fitness_signal,elapsed,pop_size,mutation_rate,crossover_method,n_particles,w,w_min,c1,c2,hidden_size
1,GA,GA  fitness=recall,recall,1.0,0.7616580310880829,0.8647058823529412,0.764102564102564,193,2,False,1.0,19.997297399677336,,,,,,,,,
1,PSO,PSO  fitness=recall,recall,1.0,0.7538461538461538,0.8596491228070176,0.7538461538461538,195,0,True,1.0,6.820212500169873,,,,,,,,,
1,GA,GA  fitness=f1,f1,0.9863945578231292,0.8734939759036144,0.9265175718849841,0.882051282051282,166,29,False,0.9265175718849841,13.813529000617564,,,,,,,,,
1,PSO,PSO  fitness=f1,f1,1.0,0.8963414634146342,0.9453376205787781,0.9128205128205128,164,31,False,0.9453376205787781,12.5216782996431,,,,,,,,,
1,GA,GA  fitness=accuracy,accuracy,0.9863945578231292,0.8734939759036144,0.9265175718849841,0.882051282051282,166,29,False,0.882051282051282,8.834241500124335,,,,,,,,,
1,PSO,PSO  fitness=accuracy,accuracy,1.0,0.8802395209580839,0.9363057324840764,0.8974358974358975,167,28,False,0.8974358974358975,5.870439000427723,,,,,,,,,
2,GA,GA  pop=30 mut=0.05 cx=arithmetic,,0.9863945578231292,0.8734939759036144,0.9265175718849841,0.882051282051282,166,29,False,0.9265175718849841,13.537585000507534,30.0,0.05,arithmetic,,,,,,
2,GA,GA  pop=30 mut=0.05 cx=blend,,1.0,0.8963414634146342,0.9453376205787781,0.9128205128205128,164,31,False,0.9453376205787781,15.073282400146127,30.0,0.05,blend,,,,,,
2,GA,GA  pop=30 mut=0.15 cx=arithmetic,,0.9931972789115646,0.8957055214723927,0.9419354838709677,0.9076923076923077,163,32,False,0.9419354838709677,13.234464200213552,30.0,0.15,arithmetic,,,,,,
2,GA,GA  pop=30 mut=0.15 cx=blend,,0.9931972789115646,0.8957055214723927,0.9419354838709677,0.9076923076923077,163,32,False,0.9419354838709677,13.55309689976275,30.0,0.15,blend,,,,,,
