algorithm,fitness_metric,colony_size,n_iterations,limit,mean_fitness,std_fitness,all_fitnesses
ABC,f1,100,100,10,0.9010385820073159,0.0214247561729116,"[np.float64(0.9085173501577287), np.float64(0.9177215189873418), np.float64(0.8768768768768769)]"
ABC,f1,50,100,5,0.9003386436858349,0.015525969147209679,"[np.float64(0.9028213166144201), np.float64(0.8837209302325582), np.float64(0.9144736842105263)]"
ABC,f1,100,100,5,0.9002723621382152,0.004515654118611444,"[np.float64(0.9049180327868852), np.float64(0.9), np.float64(0.8958990536277602)]"
ABC,f1,50,100,10,0.896512015052798,0.009168281343048344,"[np.float64(0.896551724137931), np.float64(0.8873239436619719), np.float64(0.9056603773584906)]"
ABC,f1,100,50,10,0.8919134345574286,0.023597622535760233,"[np.float64(0.89419795221843), np.float64(0.9142857142857143), np.float64(0.8672566371681416)]"
ABC,f1,100,50,5,0.89183948228852,0.014535252267931597,"[np.float64(0.9049180327868852), np.float64(0.8944099378881988), np.float64(0.8761904761904762)]"
ABC,f1,100,30,10,0.891502904103375,0.023548668813403072,"[np.float64(0.8929663608562691), np.float64(0.9142857142857143), np.float64(0.8672566371681416)]"
ABC,f1,100,30,5,0.8907976620516534,0.01623083732989836,"[np.float64(0.9049180327868852), np.float64(0.8944099378881988), np.float64(0.8730650154798761)]"
ABC,f1,50,50,5,0.8904613937289828,0.00970700252574664,"[np.float64(0.8860759493670886), np.float64(0.8837209302325582), np.float64(0.9015873015873016)]"
ABC,f1,50,30,10,0.8900884300181847,0.013576611726411931,"[np.float64(0.8838709677419355), np.float64(0.8807339449541285), np.float64(0.9056603773584906)]"
ABC,f1,50,50,10,0.8900884300181847,0.013576611726411931,"[np.float64(0.8838709677419355), np.float64(0.8807339449541285), np.float64(0.9056603773584906)]"
ABC,f1,20,100,10,0.8873642574613448,0.006732682272373784,"[np.float64(0.8932038834951457), np.float64(0.88), np.float64(0.8888888888888888)]"
ABC,f1,20,50,10,0.886665445441778,0.0066028579415188275,"[np.float64(0.8932038834951457), np.float64(0.88), np.float64(0.8867924528301887)]"
ABC,f1,20,30,10,0.8820164729248203,0.004152771718305027,"[np.float64(0.8792569659442725), np.float64(0.88), np.float64(0.8867924528301887)]"
ABC,f1,20,100,5,0.8812758393638372,0.007492138204946788,"[np.float64(0.8792569659442725), np.float64(0.875), np.float64(0.8895705521472392)]"
ABC,f1,50,30,5,0.8776969557274611,0.010109291197029786,"[np.float64(0.8860759493670886), np.float64(0.8805460750853242), np.float64(0.8664688427299704)]"
ABC,f1,20,50,5,0.8773075853955833,0.013344872683196628,"[np.float64(0.8792569659442725), np.float64(0.8630952380952381), np.float64(0.8895705521472392)]"
ABC,f1,20,30,5,0.8691276262953788,0.008825481298299988,"[np.float64(0.8792569659442725), np.float64(0.8630952380952381), np.float64(0.8650306748466258)]"
